library,dependency,type
at.molindo:helios-services:0.9.13,at.molindo:helios-tools:0.9.13,Compile
at.molindo:helios-services:0.9.13,com.spotify.docgenerator:scanner:0.0.1,Compile
at.molindo:helios-services:0.9.13,commons-codec:commons-codec:1.8,Compile
at.molindo:helios-services:0.9.13,joda-time:joda-time:2.3,Compile
at.molindo:helios-services:0.9.13,com.fasterxml.jackson.core:jackson-databind:2.4.1,Compile
at.molindo:helios-services:0.9.13,com.google.guava:guava:17.0,Compile
at.molindo:helios-services:0.9.13,org.apache.zookeeper:zookeeper:3.5.0-alpha,Compile
at.molindo:helios-services:0.9.13,org.apache.curator:curator-recipes:2.7.1,Compile
at.molindo:helios-services:0.9.13,org.apache.kafka:kafka-clients:0.8.2.0,Compile
at.molindo:helios-services:0.9.13,org.apache.httpcomponents:httpclient:4.3.5,Compile
at.molindo:helios-services:0.9.13,net.sourceforge.argparse4j:argparse4j:0.4.3,Compile
at.researchstudio.sat:won-core:0.2,org.javasimon:javasimon-core:3.4.0,Compile
at.researchstudio.sat:won-core:0.2,org.javasimon:javasimon-spring:3.4.0,Compile
at.researchstudio.sat:won-core:0.2,net.sf.supercsv:super-csv:2.1.0,Compile
at.researchstudio.sat:won-core:0.2,org.apache.jena:jena-tdb:3.5.0,Compile
at.researchstudio.sat:won-core:0.2,joda-time:joda-time:2.3,Compile
at.researchstudio.sat:won-core:0.2,org.flywaydb:flyway-core:4.0.3,Compile
at.researchstudio.sat:won-core:0.2,ch.qos.logback:logback-core:1.0.13,Compile
at.researchstudio.sat:won-core:0.2,org.apache.httpcomponents:httpclient:4.5,Compile
at.researchstudio.sat:won-core:0.2,ch.qos.logback:logback-classic:1.0.13,Compile
at.researchstudio.sat:won-core:0.2,net.sf.ehcache:ehcache-core:2.6.8,Compile
at.researchstudio.sat:won-core:0.2,org.apache.commons:commons-lang3:3.1,Compile
at.researchstudio.sat:won-core:0.2,xalan:xalan:2.7.1,Compile
at.researchstudio.sat:won-core:0.2,xerces:xercesImpl:2.9.1,Compile
at.researchstudio.sat:won-core:0.2,xml-apis:xml-apis:1.0.b2,Compile
at.researchstudio.sat:won-core:0.2,com.github.jsonld-java:jsonld-java:0.11.1,Compile
at.researchstudio.sat:won-core:0.2,com.fasterxml:classmate:1.0.0,Compile
